"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.company.logger","src/main/java/com/company/logger/MainLogger.java","3","11","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"2","com.company.logger","src/main/java/com/company/logger/MainLogger.java","3","12","fieldCommentRequirement Required","Comments","CommentRequired"
"3","com.company.logger","src/main/java/com/company/logger/MainLogger.java","3","48","Comment is too large: Too many lines","Comments","CommentSize"
"4","com.company.logger","src/main/java/com/company/logger/MainLogger.java","3","57","Avoid variables with short names like th","Naming","ShortVariable"
"5","com.company.logger","src/main/java/com/company/logger/MainLogger.java","3","71","Comment is too large: Too many lines","Comments","CommentSize"
"6","com.company.logger","src/main/java/com/company/logger/MainLogger.java","3","80","Avoid variables with short names like th","Naming","ShortVariable"
"7","com.company.main","src/main/java/com/company/main/DeDup.java","3","12","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"8","com.company.main","src/main/java/com/company/main/DeDup.java","3","17","fieldCommentRequirement Required","Comments","CommentRequired"
"9","com.company.main","src/main/java/com/company/main/DeDup.java","4","24","Consider using varargs for methods or constructors which take an array the last parameter.","Design","UseVarargs"
"10","com.company.main","src/main/java/com/company/main/DeDup.java","2","26","There is log block not surrounded by if","Jakarta Commons Logging","GuardLogStatement"
"11","com.company.main","src/main/java/com/company/main/DeDup.java","2","26","There is log block not surrounded by if","Java Logging","GuardLogStatementJavaUtil"
"12","com.company.main","src/main/java/com/company/main/DeDup.java","2","29","There is log block not surrounded by if","Jakarta Commons Logging","GuardLogStatement"
"13","com.company.main","src/main/java/com/company/main/DeDup.java","2","29","There is log block not surrounded by if","Java Logging","GuardLogStatementJavaUtil"
"14","com.company.main","src/main/java/com/company/main/DeDup.java","2","32","There is log block not surrounded by if","Jakarta Commons Logging","GuardLogStatement"
"15","com.company.main","src/main/java/com/company/main/DeDup.java","2","32","There is log block not surrounded by if","Java Logging","GuardLogStatementJavaUtil"
"16","com.company.main","src/main/java/com/company/main/DeDup.java","2","35","There is log block not surrounded by if","Jakarta Commons Logging","GuardLogStatement"
"17","com.company.main","src/main/java/com/company/main/DeDup.java","2","35","There is log block not surrounded by if","Java Logging","GuardLogStatementJavaUtil"
"18","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","3","13","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"19","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","3","16","fieldCommentRequirement Required","Comments","CommentRequired"
"20","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","4","25","Consider using varargs for methods or constructors which take an array the last parameter.","Design","UseVarargs"
"21","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","5","25","Found 'UR'-anomaly for variable 'integer' (lines '25'-'34').","Controversial","DataflowAnomalyAnalysis"
"22","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","3","29","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"23","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","3","29","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"24","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","5","31","Found 'DD'-anomaly for variable 'uniqueItems' (lines '31'-'34').","Controversial","DataflowAnomalyAnalysis"
"25","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","3","31","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"26","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","5","32","Found 'DU'-anomaly for variable 'index' (lines '32'-'38').","Controversial","DataflowAnomalyAnalysis"
"27","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","5","34","Found 'DD'-anomaly for variable 'uniqueItems' (lines '34'-'34').","Controversial","DataflowAnomalyAnalysis"
"28","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","3","40","Comment is too large: Too many lines","Comments","CommentSize"
"29","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","4","49","Consider using varargs for methods or constructors which take an array the last parameter.","Design","UseVarargs"
"30","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","3","49","Parameter 'originalElements' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"31","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","3","52","Avoid excessively long variable names like ilastUniqueNumberIndex","Naming","LongVariable"
"32","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","3","55","Avoid assignments in operands","Controversial","AssignmentInOperand"
"33","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","3","55","Avoid assignments in operands","Controversial","AssignmentInOperand"
"34","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","3","59","Local variable 'uniqueItems' could be declared final","Optimization","LocalVariableCouldBeFinal"
"35","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","3","66","Comment is too large: Too many lines","Comments","CommentSize"
"36","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","4","77","Consider using varargs for methods or constructors which take an array the last parameter.","Design","UseVarargs"
"37","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","3","81","Avoid excessively long variable names like iLastUniqueNumberIndex","Naming","LongVariable"
"38","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","3","101","Local variable 'uniqueItems' could be declared final","Optimization","LocalVariableCouldBeFinal"
"39","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","3","8","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"40","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","3","11","Comment is too large: Line too long","Comments","CommentSize"
"41","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","4","16","Consider using varargs for methods or constructors which take an array the last parameter.","Design","UseVarargs"
"42","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","3","16","Parameter 'items' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"43","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","3","19","Avoid using Literals in Conditional Statements","Controversial","AvoidLiteralsInIfCondition"
"44","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","4","41","Consider using varargs for methods or constructors which take an array the last parameter.","Design","UseVarargs"
"45","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","5","44","Found 'DD'-anomaly for variable 'finalItems' (lines '44'-'52').","Controversial","DataflowAnomalyAnalysis"
"46","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","5","44","Found 'DD'-anomaly for variable 'finalItems' (lines '44'-'54').","Controversial","DataflowAnomalyAnalysis"
"47","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","5","44","Found 'DD'-anomaly for variable 'finalItems' (lines '44'-'59').","Controversial","DataflowAnomalyAnalysis"
"48","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","5","44","Found 'DD'-anomaly for variable 'finalItems' (lines '44'-'63').","Controversial","DataflowAnomalyAnalysis"
"49","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","5","48","Found 'DU'-anomaly for variable 'iMainIndex' (lines '48'-'67').","Controversial","DataflowAnomalyAnalysis"
"50","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","5","52","Found 'DD'-anomaly for variable 'finalItems' (lines '52'-'52').","Controversial","DataflowAnomalyAnalysis"
"51","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","5","52","Found 'DD'-anomaly for variable 'finalItems' (lines '52'-'54').","Controversial","DataflowAnomalyAnalysis"
"52","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","5","52","Found 'DD'-anomaly for variable 'finalItems' (lines '52'-'59').","Controversial","DataflowAnomalyAnalysis"
"53","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","5","52","Found 'DD'-anomaly for variable 'finalItems' (lines '52'-'63').","Controversial","DataflowAnomalyAnalysis"
"54","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","5","54","Found 'DD'-anomaly for variable 'finalItems' (lines '54'-'52').","Controversial","DataflowAnomalyAnalysis"
"55","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","5","54","Found 'DD'-anomaly for variable 'finalItems' (lines '54'-'54').","Controversial","DataflowAnomalyAnalysis"
"56","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","5","54","Found 'DD'-anomaly for variable 'finalItems' (lines '54'-'59').","Controversial","DataflowAnomalyAnalysis"
"57","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","5","54","Found 'DD'-anomaly for variable 'finalItems' (lines '54'-'63').","Controversial","DataflowAnomalyAnalysis"
"58","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","5","59","Found 'DD'-anomaly for variable 'finalItems' (lines '59'-'59').","Controversial","DataflowAnomalyAnalysis"
"59","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","5","59","Found 'DD'-anomaly for variable 'finalItems' (lines '59'-'63').","Controversial","DataflowAnomalyAnalysis"
"60","com.company.utilty","src/main/java/com/company/utilty/Sorting.java","5","63","Found 'DD'-anomaly for variable 'finalItems' (lines '63'-'63').","Controversial","DataflowAnomalyAnalysis"
"61","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","4","3","Avoid unused imports such as 'org.junit.Before'","Import Statements","UnusedImports"
"62","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","16","Each class should declare at least one constructor","Controversial","AtLeastOneConstructor"
"63","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"64","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","18","fieldCommentRequirement Required","Comments","CommentRequired"
"65","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","19","Avoid excessively long variable names like expectedUniquesIntegersInInsertionOder","Naming","LongVariable"
"66","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"67","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","19","Use explicit scoping instead of the default package private level","Controversial","DefaultPackage"
"68","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","19","fieldCommentRequirement Required","Comments","CommentRequired"
"69","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","20","Avoid excessively long variable names like expectedUniquesIntegersSortedOder","Naming","LongVariable"
"70","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"71","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","20","Use explicit scoping instead of the default package private level","Controversial","DefaultPackage"
"72","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","20","fieldCommentRequirement Required","Comments","CommentRequired"
"73","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","21","Avoid excessively long variable names like deleteDuplicateErrorMsg","Naming","LongVariable"
"74","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"75","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","21","This final field could be made static","Design","FinalFieldCouldBeStatic"
"76","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","21","Use explicit scoping instead of the default package private level","Controversial","DefaultPackage"
"77","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","21","fieldCommentRequirement Required","Comments","CommentRequired"
"78","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","23","JUnit 4 tests that set up tests should use the @Before annotation","Migration","JUnit4TestShouldUseBeforeAnnotation"
"79","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","23","protectedMethodCommentRequirement Required","Comments","CommentRequired"
"80","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","36","Comment is too large: Line too long","Comments","CommentSize"
"81","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","39","JUnit tests should not contain more than 1 assert(s).","JUnit","JUnitTestContainsTooManyAsserts"
"82","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","40","Avoid excessively long variable names like randomTestIntegers","Naming","LongVariable"
"83","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","49","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"84","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","49","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"85","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","54","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"86","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","54","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"87","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","64","JUnit tests should not contain more than 1 assert(s).","JUnit","JUnitTestContainsTooManyAsserts"
"88","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","65","Avoid excessively long variable names like randomTestIntegers","Naming","LongVariable"
"89","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","71","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"90","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","79","JUnit tests should not contain more than 1 assert(s).","JUnit","JUnitTestContainsTooManyAsserts"
"91","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","80","Avoid excessively long variable names like randomTestIntegers","Naming","LongVariable"
"92","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","89","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"93","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","89","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"94","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","93","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"95","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","93","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"96","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","102","JUnit tests should not contain more than 1 assert(s).","JUnit","JUnitTestContainsTooManyAsserts"
"97","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","103","Avoid excessively long variable names like randomTestIntegers","Naming","LongVariable"
"98","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","108","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"99","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","116","JUnit tests should not contain more than 1 assert(s).","JUnit","JUnitTestContainsTooManyAsserts"
"100","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","117","Avoid excessively long variable names like randomTestIntegers","Naming","LongVariable"
"101","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","117","Local variable 'randomTestIntegers' could be declared final","Optimization","LocalVariableCouldBeFinal"
"102","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","126","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"103","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","126","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"104","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","131","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"105","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","131","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"106","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","137","Comment is too large: Line too long","Comments","CommentSize"
"107","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","140","JUnit tests should not contain more than 1 assert(s).","JUnit","JUnitTestContainsTooManyAsserts"
"108","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","141","Avoid excessively long variable names like randomTestIntegers","Naming","LongVariable"
"109","com.company.utility","src/test/java/com/company/utility/ArrayUtilTest.java","3","146","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
